	X.home.guest.GoMRI.LBN1S1	X.home.guest.GoMRI.LBN10S10	X.home.guest.GoMRI.LBN2S2	X.home.guest.GoMRI.LBN3S3	X.home.guest.GoMRI.LBN4S4	X.home.guest.GoMRI.LBN5S5	X.home.guest.GoMRI.LBN6S6	X.home.guest.GoMRI.LBN7S7	X.home.guest.GoMRI.LBN8S8	X.home.guest.GoMRI.LBN9S9	X.home.guest.GoMRI.LBO1S11	X.home.guest.GoMRI.LBO10S20	X.home.guest.GoMRI.LBO2S12	X.home.guest.GoMRI.LBO3S13	X.home.guest.GoMRI.LBO4S14	X.home.guest.GoMRI.LBO5S15	X.home.guest.GoMRI.LBO6S16	X.home.guest.GoMRI.LBO7S17	X.home.guest.GoMRI.LBO8S18	X.home.guest.GoMRI.LBO9S19	X.home.guest.GoMRI.LFN1S61	X.home.guest.GoMRI.LFN10S70	X.home.guest.GoMRI.LFN2S62	X.home.guest.GoMRI.LFN3S63	X.home.guest.GoMRI.LFN4S64	X.home.guest.GoMRI.LFN5S65	X.home.guest.GoMRI.LFN6S66	X.home.guest.GoMRI.LFN7S67	X.home.guest.GoMRI.LFN8S68	X.home.guest.GoMRI.LFN9S69	X.home.guest.GoMRI.LFO1S71	X.home.guest.GoMRI.LFO10S80	X.home.guest.GoMRI.LFO2S72	X.home.guest.GoMRI.LFO3S73	X.home.guest.GoMRI.LFO4S74	X.home.guest.GoMRI.LFO5S75	X.home.guest.GoMRI.LFO6S76	X.home.guest.GoMRI.LFO7S77	X.home.guest.GoMRI.LFO8S78	X.home.guest.GoMRI.LFO9S79	X.home.guest.GoMRI.RBN1S21	X.home.guest.GoMRI.RBN10S30	X.home.guest.GoMRI.RBN3S23	X.home.guest.GoMRI.RBN4S24	X.home.guest.GoMRI.RBN5S25	X.home.guest.GoMRI.RBN6S26	X.home.guest.GoMRI.RBN7S27	X.home.guest.GoMRI.RBN8S28	X.home.guest.GoMRI.RBN9S29	X.home.guest.GoMRI.RBO1S31	X.home.guest.GoMRI.RBO10S40	X.home.guest.GoMRI.RBO2S32	X.home.guest.GoMRI.RBO3S33	X.home.guest.GoMRI.RBO4S34	X.home.guest.GoMRI.RBO5S35	X.home.guest.GoMRI.RBO6S36	X.home.guest.GoMRI.RBO7S37	X.home.guest.GoMRI.RBO8S38	X.home.guest.GoMRI.RBO9S39	X.home.guest.GoMRI.RFN1S7	X.home.guest.GoMRI.RFN1S81	X.home.guest.GoMRI.RFN10S90	X.home.guest.GoMRI.RFN2S82	X.home.guest.GoMRI.RFN3S83	X.home.guest.GoMRI.RFN3S9	X.home.guest.GoMRI.RFN4S10	X.home.guest.GoMRI.RFN4S84	X.home.guest.GoMRI.RFN5S11	X.home.guest.GoMRI.RFN5S85	X.home.guest.GoMRI.RFN6S12	X.home.guest.GoMRI.RFN6S86	X.home.guest.GoMRI.RFN7S87	X.home.guest.GoMRI.RFN8S88	X.home.guest.GoMRI.RFN9S89	X.home.guest.GoMRI.RFO1S1	X.home.guest.GoMRI.RFO1S91	X.home.guest.GoMRI.RFO10S4	X.home.guest.GoMRI.RFO2S2	X.home.guest.GoMRI.RFO2S92	X.home.guest.GoMRI.RFO3S3	X.home.guest.GoMRI.RFO3S93	X.home.guest.GoMRI.RFO4S4	X.home.guest.GoMRI.RFO4S94	X.home.guest.GoMRI.RFO5S5	X.home.guest.GoMRI.RFO5S95	X.home.guest.GoMRI.RFO6S6	X.home.guest.GoMRI.RFO6S96	X.home.guest.GoMRI.RFO7S1	X.home.guest.GoMRI.RFO8S2	X.home.guest.GoMRI.RFO9S3	X.home.guest.GoMRI.SBN1S41	X.home.guest.GoMRI.SBN10S50	X.home.guest.GoMRI.SBN2S42	X.home.guest.GoMRI.SBN3S43	X.home.guest.GoMRI.SBN4S44	X.home.guest.GoMRI.SBN5S45	X.home.guest.GoMRI.SBN6S46	X.home.guest.GoMRI.SBN7S47	X.home.guest.GoMRI.SBN8S48	X.home.guest.GoMRI.SBN9S49	X.home.guest.GoMRI.SBO1S51	X.home.guest.GoMRI.SBO10S60	X.home.guest.GoMRI.SBO2S52	X.home.guest.GoMRI.SBO3S53	X.home.guest.GoMRI.SBO4S54	X.home.guest.GoMRI.SBO5S55	X.home.guest.GoMRI.SBO6S56	X.home.guest.GoMRI.SBO7S57	X.home.guest.GoMRI.SBO8S58	X.home.guest.GoMRI.SBO9S59	X.home.guest.GoMRI.SFN1S5	X.home.guest.GoMRI.SFN10S14	X.home.guest.GoMRI.SFN2S6	X.home.guest.GoMRI.SFN3S7	X.home.guest.GoMRI.SFN4S8	X.home.guest.GoMRI.SFN5S9	X.home.guest.GoMRI.SFN6S10	X.home.guest.GoMRI.SFN7S11	X.home.guest.GoMRI.SFN8S12	X.home.guest.GoMRI.SFN9S13	X.home.guest.GoMRI.SFO1S15	X.home.guest.GoMRI.SFO10S24	X.home.guest.GoMRI.SFO2S16	X.home.guest.GoMRI.SFO3S17	X.home.guest.GoMRI.SFO4S18	X.home.guest.GoMRI.SFO5S19	X.home.guest.GoMRI.SFO6S20	X.home.guest.GoMRI.SFO7S21	X.home.guest.GoMRI.SFO8S22	X.home.guest.GoMRI.SFO9S23
Bacteria|Proteobacteria|Deltaproteobacteria|Desulfobacterales|Desulfobulbaceae|MSBL7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00E+00	0	0.000665513	0.00E+00	0.00E+00	0.00E+00	0.00E+00	9.10E-04	0	0.00E+00	2.25E-04	0	0	9.05E-05	0	0	0	0	0.00E+00	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0	0.00E+00	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.000135827	0.00E+00	0.00E+00	0	0.00E+00	0.002268509	0.005188824	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.002380521	0.005349682	1.82E-04	1.44E-04	0	0.000359564	0.002630904	2.17E-03	0	4.44E-03	4.48E-04	0.00E+00	0	6.14E-04	9.84E-05	0.00E+00	0.00E+00	6.29E-05	2.89E-04	1.05E-04	4.34E-05	0.00E+00	5.15E-05	6.96E-04	7.08E-04	1.29E-04	0.00E+00	1.48E-03	3.06E-04	5.60E-04	1.20E-03	0.00E+00	3.93E-03	0.018519401	6.23E-04	1.16E-03	4.31E-03	2.21E-04	0.00E+00	1.78E-03
Bacteria|Proteobacteria|Gammaproteobacteria|R7C24|NA|NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.55E-04	0	0.000212964	0.00E+00	0.00E+00	0.00E+00	8.52E-05	0.00E+00	0.008700595	5.67E-04	7.77E-04	0	0.003692296	3.06E-02	0.014594258	0	0.007146241	0	0.00E+00	0.000123825	0.00E+00	5.93E-05	0.00E+00	0.00E+00	0.00E+00	0	0.00E+00	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0	0.00E+00	0.00E+00	0	0.00E+00	0	0	0	0.00E+00	0.00E+00	3.25E-05	0.00E+00	0.00E+00	0.00E+00	0	0	0.00E+00	9.75E-05	0	0	0	2.28E-05	0	0.00E+00	1.60E-05	0.00E+00	0.0008344	0.00E+00	0.00E+00	0.00E+00	0.00E+00	4.20E-05	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0	3.91E-05	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
Bacteria|Proteobacteria|Gammaproteobacteria|Betaproteobacteriales|Nitrosomonadaceae|mle1-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00E+00	0	0	0.00E+00	1.03E-04	0.00E+00	0.00E+00	0.00E+00	0	7.18E-04	0.00E+00	0	0.012245807	0.00E+00	0	0	0	0	0.00E+00	0.016828953	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0	0.00E+00	0.028755682	6.87E-04	0.00E+00	0.00E+00	0.00E+00	7.03E-05	8.31E-04	0	0.00E+00	1.05E-04	0.027859557	1.62E-02	0	0	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	5.28E-03	0.002302895	0	4.09E-03	8.26E-04	0	0.001240494	0.0008128	5.94E-04	0	2.81E-04	2.34E-02	4.15E-02	0	6.58E-03	1.52E-03	5.16E-04	0.00E+00	5.77E-05	0.00E+00	2.34E-03	1.53E-04	2.98E-04	2.92E-04	4.64E-04	2.37E-04	1.19E-04	9.08E-05	3.79E-04	0.00E+00	2.67E-04	2.06E-04	2.38E-04	1.76E-04	0.000295957	4.05E-04	5.59E-04	5.62E-04	9.39E-05	1.00E-03	9.24E-04
Bacteria|Planctomycetes|Phycisphaerae|Phycisphaerales|Phycisphaeraceae|NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00E+00	0	0.000186344	0.00E+00	5.72E-05	0.00E+00	0.00E+00	1.56E-04	0	0.00E+00	0.00E+00	0.007490405	0	9.46E-04	0	0.001920279	0	0	0.00E+00	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0	0.00E+00	0	5.15E-04	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0	0.00E+00	0.00E+00	0	0.00E+00	0	0.00029168	0	0.00E+00	0.00E+00	0.00E+00	3.26E-03	0.00E+00	0.00E+00	0	0	0.00E+00	0.00E+00	0	0	0	0.00E+00	0	0.00E+00	0.00E+00	0.00E+00	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
Bacteria|Proteobacteria|Gammaproteobacteria|Methylococcales|Methylococcaceae|NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00E+00	0	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.004394019	6.70E-03	6.32E-03	0.00058809	0.000445302	8.22E-05	0.004106302	0.002327611	0.00256633	0.001670819	6.80E-03	0.00021388	8.98E-03	9.96E-03	5.23E-04	4.32E-03	4.22E-03	0.001865802	1.70E-03	0	3.61E-03	8.01E-04	6.01E-03	1.89E-03	3.51E-03	5.59E-03	0.004776565	5.48E-04	7.47E-04	0.019177298	2.04E-02	0	0.002210623	0.000321085	3.64E-04	8.38E-03	1.12E-02	2.87E-02	4.36E-03	1.58E-03	0.000284628	0	8.95E-04	2.12E-05	0	0.000143825	0	9.79E-05	0	9.37E-05	2.18E-04	1.66E-04	0	3.39E-04	4.79E-05	0.00E+00	0.00E+00	0.00E+00	0.00E+00	4.49E-05	1.71E-04	3.15E-04	9.61E-04	9.67E-04	7.06E-04	1.33E-04	5.14E-04	1.53E-03	7.22E-04	1.03E-04	7.31E-04	4.14E-04	4.84E-04	0.00020751	2.74E-04	3.81E-04	6.56E-04	0.00E+00	7.23E-04	3.32E-04
Bacteria|Proteobacteria|Deltaproteobacteria|Desulfarculales|Desulfarculaceae|NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00203884	0.001763536	1.59E-03	0	0.000479169	3.32E-04	9.27E-04	0.00E+00	2.98E-04	7.93E-04	0	0.00E+00	0.00E+00	0	0	0.00E+00	0	0	0	0	0.00E+00	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0	0.00E+00	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0	0.00E+00	0.00E+00	0	0.00E+00	0	0	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.000776257	0.001015268	7.13E-04	1.17E-03	0	0	0	2.35E-04	0	4.00E-04	7.69E-05	7.83E-04	0.004338878	1.59E-04	1.55E-03	2.35E-03	2.45E-03	1.88E-03	2.33E-03	1.06E-03	1.45E-03	1.48E-03	9.23E-04	4.33E-04	1.16E-03	1.19E-03	2.16E-03	1.07E-03	5.65E-04	9.11E-04	6.48E-04	1.42E-03	1.43E-04	0.000204108	7.80E-04	6.51E-04	4.89E-04	9.23E-04	7.16E-04	6.96E-04
Bacteria|Proteobacteria|Deltaproteobacteria|Myxococcales|Phaselicystidaceae|Phaselicystis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.19E-04	0	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0	0.00E+00	0.00E+00	0	0	0.00E+00	0	0	0	0	0.00E+00	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0	0.00E+00	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0	0.00E+00	0.00E+00	0	0.00E+00	0	0	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0	0	2.15E-04	3.43E-04	0	0	0	3.64E-05	0	0.00E+00	0.00E+00	0.00E+00	0	0.00E+00	4.87E-04	5.96E-05	0.00E+00	1.99E-04	5.79E-04	8.99E-05	4.48E-04	1.25E-03	1.91E-03	1.11E-03	1.30E-03	5.60E-04	1.18E-03	1.70E-03	9.18E-04	2.75E-03	7.66E-04	7.34E-04	1.29E-04	0.003102442	1.89E-03	1.21E-03	1.20E-03	2.07E-03	3.50E-03	1.64E-03
Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiales_vadinBB60_group|NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000280341	0	2.01E-03	0	0.001836816	4.15E-04	6.53E-04	0.00E+00	3.20E-04	6.76E-04	0	0.00E+00	0.00E+00	0	0	9.87E-05	0	0.000814664	0	0	0.00E+00	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0	0.00E+00	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0	0.00E+00	0.00E+00	0	0.00E+00	0	0	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.002147644	0.002421024	3.45E-03	3.50E-03	0	0.004152958	0.003293977	4.02E-03	0.005335522	1.75E-03	2.63E-03	6.66E-04	0.001613172	4.21E-03	1.24E-02	1.40E-02	7.22E-03	1.16E-02	1.05E-02	3.89E-03	1.01E-04	1.62E-04	2.10E-04	3.17E-04	1.54E-04	1.33E-04	0.00E+00	2.83E-04	6.28E-05	3.22E-04	6.44E-04	2.03E-04	1.81E-03	0.005497309	7.39E-04	1.22E-03	1.09E-03	1.10E-04	2.58E-04	4.73E-04
Bacteria|Verrucomicrobia|Verrucomicrobiae|Opitutales|Opitutaceae|NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.39E-04	0	0.000612272	0.00E+00	0.00E+00	2.17E-03	3.83E-04	4.93E-03	0	0.00E+00	0.00E+00	0	0	0.00E+00	0	0	0	0	1.77E-05	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0	0.00E+00	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0	0.00E+00	0.00E+00	0	0.00E+00	0	0	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0	0.000898122	7.79E-04	6.95E-04	0	0.000755083	0.000320842	5.37E-04	0	1.79E-04	4.56E-04	8.49E-04	0.002058186	1.47E-03	1.09E-03	7.84E-04	6.07E-04	9.76E-04	1.59E-03	8.54E-04	3.12E-03	3.44E-03	3.60E-03	3.78E-03	2.63E-03	3.06E-03	3.00E-03	1.98E-03	3.24E-03	2.10E-03	4.75E-03	2.02E-03	2.12E-03	0.002394867	3.22E-03	2.17E-03	2.24E-03	2.83E-03	2.04E-03	1.85E-03
Bacteria|Planctomycetes|Pla4_lineage|NA|NA|NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00E+00	0	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0	0.00E+00	0.00E+00	0.000680946	0.001558557	2.80E-04	0	0	0	0	5.79E-04	0.000270164	6.32E-04	3.39E-04	0.00E+00	5.67E-04	1.01E-03	0.000233225	1.82E-04	0	1.30E-03	1.45E-04	5.52E-04	1.46E-04	0.00E+00	0.00E+00	0.000656495	3.02E-04	4.45E-04	0.000245339	0.00E+00	0	0	0.000214056	7.28E-05	2.23E-04	4.09E-04	2.89E-04	0.00E+00	1.15E-04	0.001604264	0.002811512	3.07E-03	6.83E-03	0	0.002696726	0.00196783	2.60E-03	0.001436487	1.54E-03	3.28E-03	2.31E-03	0.004060744	1.67E-03	6.01E-03	2.98E-03	6.04E-03	2.92E-03	1.50E-03	6.84E-03	5.14E-03	5.69E-03	5.82E-03	6.31E-03	6.00E-03	7.53E-03	7.33E-03	6.25E-03	6.03E-03	7.99E-03	5.66E-03	4.09E-03	2.64E-03	0.005408862	6.51E-03	4.21E-03	3.13E-03	5.45E-03	5.03E-03	4.77E-03
Bacteria|Actinobacteria|WCHB1-81|NA|NA|NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00E+00	0	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0	0.00E+00	0.00E+00	0	0	0.00E+00	0	0	0	0	0.00E+00	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0	0.00E+00	0	0.00E+00	0.00E+00	0.00E+00	2.31E-05	0.00E+00	0.00E+00	0	0.00E+00	0.00E+00	0	0.00E+00	0	0	0	0.00E+00	0.00E+00	1.02E-04	3.29E-05	0.00E+00	6.18E-05	0	0.000273341	0.00E+00	0.00E+00	0	0	0	0.00E+00	0	0.00E+00	7.40E-05	2.50E-04	0	1.48E-04	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	2.92E-04	5.79E-05	0.00E+00	1.42E-04	3.02E-04	5.30E-04	5.97E-05	0.00E+00	7.87E-04	2.12E-04	1.75E-04	5.17E-04	6.21E-05	2.08E-04	0.000758602	6.27E-04	5.67E-03	2.37E-03	4.86E-03	3.25E-04	1.78E-03
Bacteria|Proteobacteria|Gammaproteobacteria|Arenicellales|Arenicellaceae|Candidatus_Thiosymbion	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00E+00	0	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0	0.00E+00	0.00E+00	0	0	0.00E+00	0	0	0	0	0.00E+00	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0	0.00E+00	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0	0.00E+00	0.00E+00	6.81496E-05	0.00E+00	0	0	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.004812793	0.004881097	7.16E-03	5.81E-03	0	0.004170937	0.004513176	4.68E-03	0.001846912	5.43E-03	4.53E-03	5.91E-03	0.001557546	6.83E-03	4.92E-03	2.38E-03	2.15E-03	1.57E-03	8.32E-04	3.55E-03	6.53E-03	4.61E-03	4.21E-03	6.43E-03	5.22E-03	5.48E-03	5.79E-03	4.51E-03	8.26E-03	5.30E-03	4.66E-03	5.21E-03	1.17E-02	0.003544676	3.99E-03	4.03E-03	4.22E-03	5.07E-03	4.03E-03	4.61E-03
Bacteria|Firmicutes|Bacilli|Bacillales|Paenibacillaceae|Paenibacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002453072	0	0	0	0	0.00E+00	0	0	0.00E+00	8.01E-05	0.00E+00	0.00E+00	0.00E+00	0.01132389	1.11E-02	6.03E-03	0.002042838	0	9.87E-04	0.004746245	0.001571138	0.006632975	0	0.00E+00	0	0.00E+00	1.78E-04	0.00E+00	1.31E-04	0.00E+00	0.001166126	0.00E+00	0	1.11E-03	0.00E+00	6.45E-05	1.27E-03	1.69E-04	1.53E-04	0	1.92E-04	2.10E-04	0	0.00E+00	0	0	0	0.00E+00	0.00E+00	0.00E+00	7.23E-05	0.00E+00	0.00E+00	0	0	0.00E+00	0.00E+00	0	0	0	0.00E+00	0	0.00E+00	0.00E+00	0.00E+00	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	4.02E-05	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	3.94E-05	0.00E+00	0.00E+00	0.000051027	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
Bacteria|Proteobacteria|Gammaproteobacteria|Vibrionales|Vibrionaceae|Enterovibrio	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00E+00	0	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.002339105	1.99E-03	2.41E-03	0.005014238	0.011132552	9.05E-05	0.000906586	0.009775967	0.00138187	0.010787044	8.17E-04	0.003309506	2.68E-03	3.18E-04	8.25E-03	1.61E-03	2.80E-03	0.003055251	1.05E-02	0.004440216	4.79E-03	6.23E-03	2.07E-03	2.33E-03	8.43E-05	1.53E-04	0.002558066	5.51E-03	4.87E-03	0.012239669	8.42E-03	0	0.000828984	0.000428113	2.73E-04	3.46E-04	3.48E-04	2.05E-03	0.00E+00	1.91E-03	0.000750382	0	5.47E-04	5.76E-04	0	0.000431476	0	3.46E-04	0	3.15E-04	2.37E-04	4.00E-04	0	0.00E+00	1.20E-04	0.00E+00	2.26E-04	2.05E-04	0.00E+00	2.92E-04	5.12E-04	1.79E-04	4.59E-04	1.25E-03	2.59E-04	1.56E-04	1.41E-04	6.69E-04	2.35E-04	0.00E+00	1.40E-04	3.93E-04	8.97E-05	0.000840245	1.96E-04	6.31E-04	4.75E-04	1.60E-04	6.64E-05	1.50E-04
Bacteria|Patescibacteria|Parcubacteria|NA|NA|NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000192976	0	0	0	0	0	0	0	0	0	0.000050971	0	1.64E-03	0	0	8.29E-05	2.06E-04	1.45E-04	4.90E-04	0.00E+00	0	0.00E+00	0.00E+00	0	0	0.00E+00	0	0	0	0	0.00E+00	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0	0.00E+00	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0	0.00E+00	0.00E+00	0	0.00E+00	0	0	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.000517505	0	1.16E-03	1.96E-03	0	0.00059328	0.001133641	3.21E-04	0	9.20E-04	1.71E-04	4.33E-04	0	4.02E-04	5.80E-04	1.79E-04	0.00E+00	9.91E-04	1.86E-03	2.77E-04	1.02E-03	2.90E-04	4.38E-04	2.79E-03	1.21E-03	9.41E-04	0.00E+00	8.49E-04	3.28E-03	8.02E-04	5.25E-04	3.47E-03	4.30E-04	0.003820222	1.58E-03	3.17E-03	2.07E-03	2.39E-03	7.31E-04	6.83E-04
Bacteria|Chloroflexi|Anaerolineae|Caldilineales|Caldilineaceae|NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.65E-05	0	0.000479169	0.00E+00	9.16E-05	0.00E+00	0.00E+00	9.10E-05	0.000131165	4.25E-04	2.36E-04	0.000464281	0.000222651	1.56E-04	0	0	0.000276374	0.000175876	2.25E-04	0	1.01E-04	1.42E-03	1.57E-04	0.00E+00	0.00E+00	0	9.86E-05	0	0.00E+00	6.75E-05	0.00E+00	0.00E+00	0.00E+00	1.13E-04	0	0.00E+00	0.00E+00	0.000790535	8.30E-04	0	0	0	2.55E-04	0.00E+00	0.00E+00	0.00E+00	4.34E-05	5.39E-04	0.002432272	0.000898122	1.59E-03	1.13E-03	0	0	0.000898357	2.57E-03	0	2.81E-03	2.63E-03	8.54E-03	0.001668799	6.09E-03	1.16E-03	2.08E-04	8.68E-05	9.97E-05	8.68E-04	1.90E-03	2.65E-02	7.40E-03	9.75E-03	1.91E-02	1.70E-02	2.17E-02	1.30E-02	7.75E-03	1.05E-02	1.36E-02	1.05E-02	2.98E-02	9.27E-03	0.004901994	1.28E-02	1.45E-02	1.27E-02	1.69E-02	7.52E-03	6.41E-03
Bacteria|Proteobacteria|Gammaproteobacteria|Betaproteobacteriales|Nitrosomonadaceae|NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00E+00	0	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.000590241	9.92E-04	4.95E-04	0.002507119	0.002152293	5.84E-04	0	0	0	0.00067419	6.27E-04	0.000878032	3.04E-03	1.94E-03	6.25E-03	4.45E-03	1.27E-03	0.00027987	8.63E-03	0.000528597	4.98E-03	5.21E-03	3.87E-03	1.97E-03	2.09E-03	3.06E-03	0.000747046	7.95E-04	8.52E-04	0.000872315	2.50E-03	0.003162164	0.003715075	0.001284338	7.28E-04	1.88E-03	2.82E-03	5.41E-03	8.25E-04	4.95E-04	0	0	0.00E+00	0.00E+00	0	0	0.000427789	5.01E-05	0	0.00E+00	1.16E-05	0.00E+00	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	6.07E-05	6.82E-05	0.00E+00	0.00E+00	7.82E-05	0.00E+00	0.00E+00	2.21E-05	0.00E+00	1.72E-05	0.00E+00	5.17E-05	0.00E+00	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
